order_id,order_date,ship_date,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,products,product_features,price,sales,product_cost,quantity,discount,profit,shipping_cost,order_priority,year,days_delayed,gross_margin
IN-2011-33652,2011-01-03,2011-01-09,"Standard Class","Dennis Pardue","Home Office",Sarawak,Malaysia,APAC,"Southeast Asia",TEC-CO-10000594,Technology,Copiers,"Hewlett Fax and Copier",Laser,182.470,192.87,142.740,1,0,50.13,10.4,Medium,2011,6,25.992
ID-2011-80230,2011-01-03,2011-01-09,"Standard Class","Ken Lonsdale",Consumer,Auckland,"New Zealand",APAC,Oceania,FUR-CH-10000214,Furniture,Chairs,"Hon Rocking Chair","Set of Two",69.652,159.444,255.120,2,0.4,-95.676,10.07,Low,2011,6,-60.006
MX-2011-160234,2011-01-03,2011-01-07,"Standard Class","Stewart Visinsky",Consumer,Guatemala,Guatemala,LATAM,Central,TEC-PH-10002647,Technology,Phones,"Nokia Headset",VoIP,40.369,195.2,150.320,4,0,44.88,8.431000000000001,Medium,2011,4,22.992
IR-2011-770,2011-01-03,2011-01-07,"Standard Class","Jas O'Carroll",Consumer,Yazd,Iran,EMEA,EMEA,OFF-BRE-10003081,"Office Supplies",Appliances,"Breville Coffee Grinder",Black,52.880,122.58,79.680,2,0,42.900000000000006,8.41,Medium,2011,4,34.998
ID-2011-80230,2011-01-03,2011-01-09,"Standard Class","Ken Lonsdale",Consumer,Auckland,"New Zealand",APAC,Oceania,TEC-AC-10002881,Technology,Accessories,"Belkin Numeric Keypad",Bluetooth,26.310,69.3,65.880,2,0.4,3.4199999999999946,8.34,Low,2011,6,4.935
ID-2011-80230,2011-01-03,2011-01-09,"Standard Class","Ken Lonsdale",Consumer,Auckland,"New Zealand",APAC,Oceania,FUR-CH-10000666,Furniture,Chairs,"SAFCO Chairmat",Black,26.264,68.868,95.280,2,0.4,-26.41200000000001,8.17,Low,2011,6,-38.352
ID-2011-12596,2011-01-03,2011-01-08,"Standard Class","Chris McAfee",Consumer,"Nakhon Ratchasima",Thailand,APAC,"Southeast Asia",OFF-ST-10002066,"Office Supplies",Storage,"Smead File Cart",Blue,59.819,135.1182,181.020,2,0.47,-45.90180000000001,7.74,Medium,2011,5,-33.972
IN-2011-79397,2011-01-03,2011-01-03,"Same Day","Kean Nguyen",Corporate,"New South Wales",Australia,APAC,Oceania,OFF-LA-10003396,"Office Supplies",Labels,"Avery Color Coded Labels","Laser Printer Compatible",4.501,35.883,31.140,3,0.1,4.743,7.46,Critical,2011,0,13.218
IR-2011-7690,2011-01-03,2011-01-08,"Second Class","Nat Gilpin",Corporate,"Razavi Khorasan",Iran,EMEA,EMEA,OFF-BIC-10000582,"Office Supplies",Art,"BIC Sketch Pad","Water Color",45.930,51.84,44.070,1,0,7.77,5.91,High,2011,5,14.988
IR-2011-770,2011-01-03,2011-01-07,"Standard Class","Jas O'Carroll",Consumer,Yazd,Iran,EMEA,EMEA,OFF-ROG-10004393,"Office Supplies",Storage,"Rogers Folders",Industrial,26.010,62.33999999999999,53.640,2,0,8.7,5.16,Medium,2011,4,13.956
TZ-2011-7370,2011-01-03,2011-01-08,"Standard Class","Jack Garza",Consumer,"Dar Es Salaam",Tanzania,Africa,Africa,OFF-STI-10000388,"Office Supplies",Supplies,"Stiletto Scissors",Serrated,15.200,81.24,54.480,4,0,26.76,5.11,Medium,2011,5,32.939
IZ-2011-4680,2011-01-03,2011-01-07,"Standard Class","Lindsay Williams",Corporate,Ninawa,Iraq,EMEA,EMEA,OFF-CAM-10004338,"Office Supplies",Envelopes,"Cameo Interoffice Envelope","Set of 50",43.860,47.43,30.360,1,0,17.07,3.57,High,2011,4,35.990
IN-2011-65159,2011-01-03,2011-01-07,"Second Class","Larry Blacks",Consumer,"National Capital",Philippines,APAC,"Southeast Asia",OFF-FA-10002569,"Office Supplies",Fasteners,"Stockwell Staples",Metal,5.206,6.005999999999999,5.460,1,0.45,0.5460000000000003,0.8,High,2011,4,9.091
IR-2011-770,2011-01-03,2011-01-07,"Standard Class","Jas O'Carroll",Consumer,Yazd,Iran,EMEA,EMEA,OFF-ADV-10000213,"Office Supplies",Fasteners,"Advantus Rubber Bands",Metal,16.170,16.71,12.540,1,0,4.17,0.54,Medium,2011,4,24.955
MX-2011-111255,2011-01-04,2011-01-09,"Second Class","Russell Applegate",Consumer,Parana,Brazil,LATAM,South,FUR-BO-10001498,Furniture,Bookcases,"Dania Classic Bookcase",Pine,165.611,1648.44,1038.600,6,0,609.8399999999999,109.129,Medium,2011,5,36.995
MX-2011-140641,2011-01-04,2011-01-09,"Standard Class","Maya Herman",Corporate,Yucatán,Mexico,LATAM,North,TEC-AC-10001082,Technology,Accessories,"Enermax Keyboard",Bluetooth,13.361,222.56,209.280,4,0,13.28,42.279,High,2011,5,5.967
MX-2011-158771,2011-01-04,2011-01-11,"Standard Class","Beth Thompson","Home Office",Granma,Cuba,LATAM,Caribbean,OFF-EN-10000857,"Office Supplies",Envelopes,"Jiffy Interoffice Envelope","Set of 50",14.566,185.76,182.160,6,0,3.6,16.394,Medium,2011,7,1.938
ES-2011-4939443,2011-01-04,2011-01-08,"Standard Class","Arthur Prichep",Consumer,Rhône-Alpes,France,EU,Central,OFF-AR-10001546,"Office Supplies",Art,"Binney & Smith Sketch Pad",Easy-Erase,35.810,139.76999999999998,118.890,3,0,20.879999999999995,10.78,Medium,2011,4,14.939
MX-2011-111255,2011-01-04,2011-01-09,"Second Class","Russell Applegate",Consumer,Parana,Brazil,LATAM,South,OFF-SU-10003629,"Office Supplies",Supplies,"Fiskars Letter Opener","Easy Grip",8.237,148.95999999999998,120.800,8,0,28.160000000000004,10.383,Medium,2011,5,18.904
MX-2011-140641,2011-01-04,2011-01-09,"Standard Class","Maya Herman",Corporate,Yucatán,Mexico,LATAM,North,TEC-CO-10002998,Technology,Copiers,"Sharp Ink",Laser,73.238,165.54824,116.120,2,0.002,49.42824,9.536,High,2011,5,29.857
US-2011-136007,2011-01-04,2011-01-11,"Standard Class","Beth Thompson","Home Office",Alagoas,Brazil,LATAM,South,OFF-EN-10004956,"Office Supplies",Envelopes,"Jiffy Interoffice Envelope","Set of 50",5.342,74.304,182.160,6,0.6,-107.85600000000002,7.042,Medium,2011,7,-145.155
MX-2011-159373,2011-01-04,2011-01-08,"Standard Class","Arthur Wiediger","Home Office","Santiago de Cuba",Cuba,LATAM,Caribbean,FUR-CH-10004827,Furniture,Chairs,"SAFCO Chairmat",Black,34.007,38.260000000000005,31.380,1,0,6.88,4.253,Medium,2011,4,17.982
MX-2011-159373,2011-01-04,2011-01-08,"Standard Class","Arthur Wiediger","Home Office","Santiago de Cuba",Cuba,LATAM,Caribbean,TEC-AC-10003081,Technology,Accessories,"Memorex Mouse",USB,14.983,37.83999999999999,35.600,2,0,2.24,3.937,Medium,2011,4,5.920
MX-2011-159373,2011-01-04,2011-01-08,"Standard Class","Arthur Wiediger","Home Office","Santiago de Cuba",Cuba,LATAM,Caribbean,OFF-EN-10002816,"Office Supplies",Envelopes,"Kraft Peel and Seal",Recycled,9.346,38.58,30.900,3,0,7.6800000000000015,3.514,Medium,2011,4,19.907
IT-2011-2942451,2011-01-04,2011-01-09,"Standard Class","Grant Thornton",Corporate,England,"United Kingdom",EU,North,OFF-AR-10002485,"Office Supplies",Art,"Boston Markers",Easy-Erase,11.210,26.64,48.540,2,0.5,-21.9,2.11,Medium,2011,5,-82.207
CA-2011-103800,2011-01-04,2011-01-08,"Standard Class","Darren Powers",Consumer,Texas,"United States",US,Central,OFF-PA-10000174,"Office Supplies",Paper,"Message Book","200 Dupl. Sets/Book",6.404,16.448,10.897,2,0.2,5.551199999999998,1.82,High,2011,4,33.749
IN-2011-33036,2011-01-04,2011-01-08,"Standard Class","Bradley Drucker",Consumer,Tottori,Japan,APAC,"North Asia",OFF-LA-10000784,"Office Supplies",Labels,"Harbour Creations File Folder Labels","5000 Label Set",7.580,27.360000000000003,13.680,3,0,13.68,1.54,Medium,2011,4,50.000
IT-2011-2942451,2011-01-04,2011-01-09,"Standard Class","Grant Thornton",Corporate,England,"United Kingdom",EU,North,OFF-ST-10001426,"Office Supplies",Storage,"Eldon Folders","Single Width",7.605,17.009999999999998,18.060,2,0.5,-1.0499999999999972,0.9,Medium,2011,5,-6.173
SU-2011-5190,2011-01-04,2011-01-08,"Standard Class","Jasper Cacioppo",Consumer,Khartoum,Sudan,Africa,Africa,OFF-BOS-10004950,"Office Supplies",Art,"Boston Pens",Fluorescent,14.660,15.48,12.870,1,0,2.61,0.82,Medium,2011,4,16.860
SU-2011-5190,2011-01-04,2011-01-08,"Standard Class","Jasper Cacioppo",Consumer,Khartoum,Sudan,Africa,Africa,OFF-AVE-10003279,"Office Supplies",Binders,"Avery Hole Reinforcements",Durable,5.400,5.91,3.810,1,0,2.1,0.51,Medium,2011,4,35.533
MX-2011-109267,2011-01-05,2011-01-09,"Standard Class","Jennifer Halladay",Consumer,Veracruz,Mexico,LATAM,North,OFF-AP-10004245,"Office Supplies",Appliances,"Hoover Stove",Black,187.399,3028.8,2029.440,8,0,999.36,191.201,Medium,2011,4,32.995
ES-2011-3848439,2011-01-05,2011-01-07,"First Class","Michael Granlund","Home Office",Rhône-Alpes,France,EU,Central,OFF-AR-10001291,"Office Supplies",Art,"Sanford Canvas",Fluorescent,31.140,207.12,130.560,4,0,76.56,20.64,Medium,2011,2,36.964
ES-2011-3848439,2011-01-05,2011-01-07,"First Class","Michael Granlund","Home Office",Rhône-Alpes,France,EU,Central,OFF-AR-10000833,"Office Supplies",Art,"Binney & Smith Pencil Sharpener","Water Color",14.580,89.55,69.030,3,0,20.52,15.27,Medium,2011,2,22.915
CA-2011-112326,2011-01-05,2011-01-09,"Standard Class","Phillina Ober","Home Office",Illinois,"United States",US,Central,OFF-ST-10002743,"Office Supplies",Storage,"SAFCO Boltless Steel Shelving","SAFCO Boltless Steel Shelving",77.322,272.736,337.511,3,0.2,-64.77480000000001,13.59,High,2011,4,-23.750
IN-2011-27681,2011-01-05,2011-01-11,"Standard Class","Shaun Weien",Consumer,"Taipei City",Taiwan,APAC,"North Asia",FUR-FU-10000394,Furniture,Furnishings,"Rubbermaid Photo Frame",Durable,42.960,48.78,25.860,1,0,22.92,5.82,Low,2011,6,46.986
CA-2011-112326,2011-01-05,2011-01-09,"Standard Class","Phillina Ober","Home Office",Illinois,"United States",US,Central,OFF-LA-10003223,"Office Supplies",Labels,"Avery 508","Avery 508",2.938,11.784,7.512,3,0.2,4.271699999999999,0.99,High,2011,4,36.253
CA-2011-112326,2011-01-05,2011-01-09,"Standard Class","Phillina Ober","Home Office",Illinois,"United States",US,Central,OFF-BI-10004094,"Office Supplies",Binders,"GBC Standard Plastic Binding Systems Combs","GBC Standard Plastic Binding Systems Combs",1.220,3.539999999999999,9.027,2,0.8,-5.487,0.55,High,2011,4,-155.000
ES-2011-5496179,2011-01-06,2011-01-09,"Second Class","Shahid Hopkins",Consumer,Ile-de-France,France,EU,Central,FUR-FU-10000468,Furniture,Furnishings,"Advantus Frame",Durable,68.170,324.45000000000005,288.810,3,0,35.64,39.98,High,2011,3,10.985
IN-2011-29963,2011-01-06,2011-01-10,"Standard Class","Brosina Hoffman",Consumer,"Sumatera Barat",Indonesia,APAC,"Southeast Asia",OFF-ST-10000344,"Office Supplies",Storage,"Fellowes Box",Industrial,10.533,50.19840000000001,44.190,3,0.17,6.008399999999996,6.2,High,2011,4,11.969
ID-2011-41632,2011-01-06,2011-01-13,"Standard Class","Robert Dilbeck","Home Office","Ho Chí Minh City",Vietnam,APAC,"Southeast Asia",OFF-ST-10001631,"Office Supplies",Storage,"Tenex Trays",Blue,41.374,89.98859999999999,60.720,2,0.17,29.268600000000003,3.62,Medium,2011,7,32.525
IN-2011-29963,2011-01-06,2011-01-10,"Standard Class","Brosina Hoffman",Consumer,"Sumatera Barat",Indonesia,APAC,"Southeast Asia",OFF-FA-10000549,"Office Supplies",Fasteners,"Advantus Staples",Metal,3.189,40.735800000000005,67.830,7,0.47,-27.0942,2.63,High,2011,4,-66.512
ID-2011-41632,2011-01-06,2011-01-13,"Standard Class","Robert Dilbeck","Home Office","Ho Chí Minh City",Vietnam,APAC,"Southeast Asia",OFF-PA-10003407,"Office Supplies",Paper,"Enermax Memo Slips",Recycled,10.473,38.7693,27.180,3,0.17,11.5893,2.45,Medium,2011,7,29.893
AO-2011-4910,2011-01-06,2011-01-11,"Standard Class","Grace Kelly",Corporate,Luanda,Angola,Africa,Africa,TEC-LOG-10003079,Technology,Accessories,"Logitech Flash Drive",Erganomic,26.320,28.32,15.600,1,0,12.72,2,Medium,2011,5,44.915
IN-2011-76107,2011-01-06,2011-01-10,"Standard Class","Khloe Miller",Consumer,Jilin,China,APAC,"North Asia",OFF-EN-10002166,"Office Supplies",Envelopes,"Cameo Manila Envelope","with clear poly window",28.580,30.54,17.430,1,0,13.11,1.96,High,2011,4,42.927
CA-2011-141817,2011-01-06,2011-01-13,"Standard Class","Mick Brown",Consumer,Pennsylvania,"United States",US,East,OFF-AR-10003478,"Office Supplies",Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters",4/Pack,4.662,19.536,14.652,3,0.2,4.884,1.85,Low,2011,7,25.000
CA-2011-167199,2011-01-07,2011-01-11,"Standard Class","Maria Etezadi","Home Office",Kentucky,"United States",US,South,FUR-CH-10004063,Furniture,Chairs,"Global Deluxe High-Back Manager's Chair","Global Deluxe High-Back Manager's Chair",26.990,2573.82,1827.412,9,0,746.4077999999997,258.99,High,2011,4,29.000
CA-2011-167199,2011-01-07,2011-01-11,"Standard Class","Maria Etezadi","Home Office",Kentucky,"United States",US,South,OFF-BI-10004632,"Office Supplies",Binders,"Ibico Hi-Tech Manual Binding System","Ibico Hi-Tech Manual Binding System",216.920,609.98,335.489,2,0,274.491,88.07,High,2011,4,45.000
CA-2011-167199,2011-01-07,2011-01-11,"Standard Class","Maria Etezadi","Home Office",Kentucky,"United States",US,South,TEC-PH-10004977,Technology,Phones,"GE 30524EE4","GE 30524EE4",133.620,391.98,278.306,2,0,113.67419999999998,62.37,High,2011,4,29.000
MZ-2011-1260,2011-01-07,2011-01-10,"First Class","Stewart Visinsky",Consumer,Niassa,Mozambique,Africa,Africa,OFF-ELD-10001694,"Office Supplies",Storage,"Eldon File Cart","Single Width",75.460,255.84,209.820,2,0,46.02,52.46,High,2011,3,17.988
ID-2011-58670,2011-01-07,2011-01-11,"Standard Class","Maribeth Schnelling",Consumer,"National Capital",Philippines,APAC,"Southeast Asia",TEC-MA-10000868,Technology,Machines,"Panasonic Phone",Wireless,16.660,445.41,582.120,7,0.25,-136.71,46.97,High,2011,4,-30.693
ID-2011-58670,2011-01-07,2011-01-11,"Standard Class","Maribeth Schnelling",Consumer,"National Capital",Philippines,APAC,"Southeast Asia",TEC-AC-10003413,Technology,Accessories,"Logitech Router",Programmable,94.661,273.702,318.540,2,0.45,-44.837999999999965,42.19,High,2011,4,-16.382
ES-2011-5433855,2011-01-07,2011-01-08,"First Class","Dave Poirier",Corporate,"Provence-Alpes-Côte d'Azur",France,EU,Central,OFF-ST-10004855,"Office Supplies",Storage,"Smead Lockers",Industrial,146.550,716.04,572.880,4,0.1,143.15999999999997,32.46,Medium,2011,1,19.993
ID-2011-58670,2011-01-07,2011-01-11,"Standard Class","Maribeth Schnelling",Consumer,"National Capital",Philippines,APAC,"Southeast Asia",TEC-MA-10004482,Technology,Machines,"Panasonic Card Printer",White,102.972,387.5175,361.710,3,0.25,25.807499999999976,26.2,High,2011,4,6.660
LE-2011-9590,2011-01-07,2011-01-11,"Standard Class","Harry Marie",Corporate,Beirut,Lebanon,EMEA,EMEA,"TEC-HP -10000464",Technology,Copiers,"HP Fax and Copier",Color,150.490,174.32999999999998,102.870,1,0,71.46000000000001,23.84,High,2011,4,40.991
CA-2011-167199,2011-01-07,2011-01-11,"Standard Class","Maria Etezadi","Home Office",Kentucky,"United States",US,South,TEC-PH-10004539,Technology,Phones,"Wireless Extenders zBoost YX545 SOHO Signal Booster","Wireless Extenders zBoost YX545 SOHO Signal Booster",175.170,755.96,551.851,4,0,204.1092,13.82,High,2011,4,27.000
MZ-2011-1260,2011-01-07,2011-01-10,"First Class","Stewart Visinsky",Consumer,Niassa,Mozambique,Africa,Africa,OFF-STA-10004885,"Office Supplies",Art,"Stanley Sketch Pad",Easy-Erase,31.000,44.7,36.210,1,0,8.49,13.7,High,2011,3,18.993
ES-2011-5433855,2011-01-07,2011-01-08,"First Class","Dave Poirier",Corporate,"Provence-Alpes-Côte d'Azur",France,EU,Central,OFF-FA-10002071,"Office Supplies",Fasteners,"Accos Thumb Tacks","Assorted Sizes",1.400,33.39,31.140,3,0,2.25,9.73,Medium,2011,1,6.739
ES-2011-5433855,2011-01-07,2011-01-08,"First Class","Dave Poirier",Corporate,"Provence-Alpes-Côte d'Azur",France,EU,Central,FUR-BO-10000265,Furniture,Bookcases,"Bush Floating Shelf Set",Pine,149.638,155.358,119.130,1,0.1,36.228,5.72,Medium,2011,1,23.319
CA-2011-130813,2011-01-07,2011-01-09,"Second Class","Lycoris Saunders",Consumer,California,"United States",US,West,OFF-PA-10002005,"Office Supplies",Paper,"Xerox 225","Xerox 225",2.110,19.44,10.109,3,0,9.3312,4.37,High,2011,2,47.999
AG-2011-7230,2011-01-07,2011-01-11,"Standard Class","Alyssa Crouse",Corporate,Alger,Algeria,Africa,Africa,OFF-STA-10000244,"Office Supplies",Art,"Stanley Sketch Pad",Fluorescent,41.330,91.38,76.800,2,0,14.580000000000002,4.36,Medium,2011,4,15.955
MX-2011-135629,2011-01-07,2011-01-07,"Same Day","Dorothy Dickinson",Consumer,"São Paulo",Brazil,LATAM,South,OFF-FA-10001871,"Office Supplies",Fasteners,"Stockwell Rubber Bands","Bulk Pack",6.823,43.04,37.040,4,0,6,3.937,High,2011,0,13.941
MX-2011-135629,2011-01-07,2011-01-07,"Same Day","Dorothy Dickinson",Consumer,"São Paulo",Brazil,LATAM,South,OFF-BI-10000136,"Office Supplies",Binders,"Ibico Index Tab",Durable,2.486,18.54,16.140,3,0,2.4,3.694,High,2011,0,12.945
CA-2011-106054,2011-01-07,2011-01-08,"First Class","Jack O'Briant",Corporate,Georgia,"United States",US,South,OFF-AR-10002399,"Office Supplies",Art,"Dixon Prang Watercolor Pencils","10-Color Set with Brush",0.750,12.78,7.540,3,0,5.2398,3.51,Critical,2011,1,41.002
ID-2011-58670,2011-01-07,2011-01-11,"Standard Class","Maribeth Schnelling",Consumer,"National Capital",Philippines,APAC,"Southeast Asia",OFF-AR-10003684,"Office Supplies",Art,"BIC Sketch Pad",Fluorescent,24.246,27.456000000000003,31.950,1,0.45,-4.494000000000003,3.21,High,2011,4,-16.368
LE-2011-9590,2011-01-07,2011-01-11,"Standard Class","Harry Marie",Corporate,Beirut,Lebanon,EMEA,EMEA,FUR-ADV-10000847,Furniture,Furnishings,"Advantus Stacking Tray",Black,23.550,26.43,19.050,1,0,7.38,2.88,High,2011,4,27.923
CA-2011-167199,2011-01-07,2011-01-11,"Standard Class","Maria Etezadi","Home Office",Kentucky,"United States",US,South,OFF-FA-10001883,"Office Supplies",Fasteners,"Alliance Super-Size Bands","Assorted Sizes",5.590,31.12,30.809,4,0,0.3111999999999995,2.19,High,2011,4,0.999
CA-2011-167199,2011-01-07,2011-01-11,"Standard Class","Maria Etezadi","Home Office",Kentucky,"United States",US,South,OFF-PA-10000955,"Office Supplies",Paper,"Southworth 25% Cotton Granite Paper & Envelopes","Southworth 25% Cotton Granite Paper & Envelopes",5.410,6.54,3.532,1,0,3.0084,1.13,High,2011,4,45.994
ID-2011-28752,2011-01-07,2011-01-12,"Standard Class","Adam Bellavance","Home Office",Singapore,Singapore,APAC,"Southeast Asia",OFF-LA-10002875,"Office Supplies",Labels,"Novimex Shipping Labels",Adjustable,7.990,17.759999999999998,12.300,2,0,5.46,0.89,Medium,2011,5,30.743
CA-2011-167199,2011-01-07,2011-01-11,"Standard Class","Maria Etezadi","Home Office",Kentucky,"United States",US,South,OFF-AR-10001662,"Office Supplies",Art,"Rogers Handheld Barrel Pencil Sharpener","Rogers Handheld Barrel Pencil Sharpener",2.220,5.48,4.000,2,0,1.4796000000000005,0.52,High,2011,4,27.007
IT-2011-5134922,2011-01-07,2011-01-10,"First Class","Joy Smith",Consumer,Groningen,Netherlands,EU,Central,OFF-AR-10000316,"Office Supplies",Art,"Stanley Pens",Blue,4.745,5.025,5.130,1,0.5,-0.1050000000000004,0.28,Medium,2011,3,-2.090
AO-2011-1670,2011-01-08,2011-01-13,"Standard Class","Henia Zydlo",Consumer,Benguela,Angola,Africa,Africa,FUR-IKE-10001539,Furniture,Bookcases,"Ikea Classic Bookcase",Pine,63.230,2478.6,2429.100,6,0,49.5,349.87,High,2011,5,1.997
IN-2011-19330,2011-01-08,2011-01-12,"Second Class","Nicole Fjeld","Home Office",Yunnan,China,APAC,"North Asia",TEC-MA-10002468,Technology,Machines,"Panasonic Inkjet",White,34.980,2173.5000000000005,1912.680,7,0,260.82,275.52,Medium,2011,4,12.000
IT-2011-4546695,2011-01-08,2011-01-14,"Standard Class","Darren Powers",Consumer,Midi-Pyrénées,France,EU,Central,FUR-BO-10003103,Furniture,Bookcases,"Ikea Classic Bookcase",Metal,98.844,986.904,1998.540,6,0.6,-1011.6359999999996,65.64,Medium,2011,6,-102.506
MX-2011-121202,2011-01-08,2011-01-13,"Second Class","Christopher Martinez",Consumer,Guatemala,Guatemala,LATAM,Central,OFF-ST-10002471,"Office Supplies",Storage,"Smead Lockers","Single Width",98.629,396.8999999999999,214.380,3,0,182.52,33.671,Medium,2011,5,45.986
CA-2011-105417,2011-01-08,2011-01-13,"Standard Class","Vivek Sundaresam",Consumer,Texas,"United States",US,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2" Diameter Chrome Round Wall Clock","Howard Miller 14-1/2" Diameter Chrome Round Wall Clock",18.886,76.72800000000001,130.438,3,0.6,-53.70959999999999,6.69,Medium,2011,5,-70.001
MX-2011-121202,2011-01-08,2011-01-13,"Second Class","Christopher Martinez",Consumer,Guatemala,Guatemala,LATAM,Central,OFF-BI-10002937,"Office Supplies",Binders,"Wilson Jones Binder Covers",Clear,1.444,49.7,29.400,7,0,20.3,5.656000000000001,Medium,2011,5,40.845
IT-2011-4546695,2011-01-08,2011-01-14,"Standard Class","Darren Powers",Consumer,Midi-Pyrénées,France,EU,Central,OFF-AR-10000110,"Office Supplies",Art,"Binney & Smith Sketch Pad",Blue,19.250,115.8,171.450,5,0.5,-55.65,3.91,Medium,2011,6,-48.057
NI-2011-4770,2011-01-08,2011-01-11,"Second Class","Joe Elijah",Consumer,Lagos,Nigeria,Africa,Africa,OFF-AVE-10000608,"Office Supplies",Binders,"Avery Index Tab",Economy,1.529,4.698,9.240,2,0.7,-4.542,0.82,High,2011,3,-96.679
CA-2011-105417,2011-01-08,2011-01-13,"Standard Class","Vivek Sundaresam",Consumer,Texas,"United States",US,Central,OFF-BI-10003708,"Office Supplies",Binders,"Acco Four Pocket Poly Ring Binder with Label Holder","1"",0.860,10.429999999999998,28.683,7,0.8,-18.252500000000005,0.63,Medium,2011,5,-175.005
ID-2011-20814,2011-01-09,2011-01-13,"Standard Class","Ed Braxton",Corporate,"Jawa Timur",Indonesia,APAC,"Southeast Asia",TEC-PH-10001730,Technology,Phones,"Motorola Signal Booster","Full Size",84.879,239.7372,251.340,2,0.17,-11.602800000000007,34.99,High,2011,4,-4.840
IN-2011-69366,2011-01-09,2011-01-14,"Standard Class","Alejandro Grove",Consumer,"Kiên Giang",Vietnam,APAC,"Southeast Asia",TEC-AC-10000354,Technology,Accessories,"Belkin Numeric Keypad",USB,12.357,176.68080000000003,333.360,6,0.47,-156.6792,17.09,Medium,2011,5,-88.679
